,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,logged_in,count,srv_count,Class
0,0,tcp,private,REJ,0,0,0,0,0,229,10,dos
1,0,tcp,private,REJ,0,0,0,0,0,136,1,dos
2,2,tcp,ftp_data,SF,12983,0,0,0,0,1,1,normal
3,0,icmp,eco_i,SF,20,0,0,0,0,1,65,probe
4,1,tcp,telnet,RSTO,0,15,0,0,0,1,8,probe
5,0,tcp,http,SF,267,14515,0,0,1,4,4,normal
6,0,tcp,smtp,SF,1022,387,0,0,1,1,3,normal
7,0,tcp,telnet,SF,129,174,0,0,0,1,1,r2l
8,0,tcp,http,SF,327,467,0,0,1,33,47,normal
9,0,tcp,ftp,SF,26,157,0,0,0,1,1,r2l
10,0,tcp,telnet,SF,0,0,0,0,0,1,1,probe
11,0,tcp,smtp,SF,616,330,0,0,1,1,2,normal
12,0,tcp,private,REJ,0,0,0,0,0,111,2,dos
13,0,tcp,telnet,S0,0,0,0,0,0,120,120,dos
14,37,tcp,telnet,SF,773,364200,0,0,1,1,1,normal
15,0,tcp,http,SF,350,3610,0,0,1,8,8,normal
16,0,tcp,http,SF,213,659,0,0,1,24,24,normal
17,0,tcp,http,SF,246,2090,0,0,1,16,16,normal
18,0,udp,private,SF,45,44,0,0,0,505,505,normal
19,0,tcp,private,REJ,0,0,0,0,0,204,18,dos
20,0,tcp,ldap,REJ,0,0,0,0,0,118,19,dos
21,0,tcp,pop_3,S0,0,0,0,0,0,1,1,probe
22,0,tcp,http,SF,196,1823,0,0,1,17,17,normal
23,0,tcp,http,SF,277,1816,0,0,1,17,18,normal
24,0,tcp,courier,REJ,0,0,0,0,0,116,8,dos
25,0,tcp,discard,RSTO,0,0,0,0,0,273,13,dos
26,0,tcp,http,SF,294,6442,0,0,1,22,46,normal
27,0,tcp,http,SF,300,440,0,0,1,7,7,normal
28,0,icmp,ecr_i,SF,520,0,0,0,0,511,511,dos
29,0,udp,private,SF,54,51,0,0,0,511,511,normal
30,805,tcp,http,RSTR,76944,1,0,0,1,12,12,dos
31,0,tcp,smtp,SF,720,281,0,0,1,1,2,normal
32,0,tcp,http,SF,301,19794,0,0,1,15,15,normal
33,0,udp,private,SF,1,1,0,0,0,40,3,normal
34,0,tcp,private,REJ,0,0,0,0,0,483,1,probe
35,0,tcp,imap4,RSTO,0,44,0,0,0,2,2,probe
36,0,tcp,http,SF,209,12894,0,0,1,11,11,normal
37,8,tcp,ftp,SF,220,688,0,0,1,1,1,u2r
38,0,udp,domain_u,SF,43,71,0,0,0,113,113,normal
39,0,tcp,ftp_data,SF,88382,0,0,0,0,15,15,normal
40,0,tcp,private,S0,0,0,0,0,0,144,8,dos
41,0,tcp,http,SF,277,4968,0,0,1,13,13,normal
42,0,tcp,http,SF,321,2715,0,0,1,29,37,normal
43,0,tcp,http,SF,335,3228,0,0,1,49,50,normal
44,0,tcp,mtp,REJ,0,0,0,0,0,266,8,dos
45,0,tcp,http,SF,234,3236,0,0,1,8,21,normal
46,0,tcp,systat,S0,0,0,0,0,0,281,6,dos
47,0,tcp,http,SF,54540,8314,0,0,1,4,24,dos
48,0,tcp,telnet,S0,0,0,0,0,0,1,12,probe
49,0,udp,private,SF,46,45,0,0,0,68,68,normal
50,0,tcp,http,SF,318,488,0,0,1,3,16,normal
51,0,tcp,http,SF,256,4926,0,0,1,1,41,normal
52,0,tcp,iso_tsap,REJ,0,0,0,0,0,239,7,dos
53,0,tcp,private,REJ,0,0,0,0,0,201,3,dos
54,282,tcp,ftp,SF,160,599,0,0,1,1,1,r2l
55,0,tcp,http,SF,229,509,0,0,1,1,1,normal
56,0,tcp,imap4,REJ,0,0,0,0,0,280,8,dos
57,0,udp,private,SF,105,146,0,0,0,2,2,dos
58,7428,tcp,telnet,SF,0,44,0,0,0,1,1,dos
59,0,tcp,http,SF,282,396,0,0,1,8,8,normal
60,4,tcp,pop_3,SF,28,93,0,0,1,1,1,r2l
61,280,tcp,ftp_data,SF,283618,0,0,0,0,2,2,r2l
62,0,tcp,http,SF,233,2239,0,0,1,3,3,normal
63,0,tcp,http,SF,257,8712,0,0,1,2,20,normal
64,0,tcp,other,REJ,0,0,0,0,0,412,1,probe
65,0,tcp,http,SF,214,645,0,0,1,30,30,normal
66,0,tcp,telnet,REJ,0,0,0,0,0,4,6,probe
67,0,tcp,private,REJ,0,0,0,0,0,109,13,dos
68,0,tcp,smtp,S0,0,0,0,0,0,114,1,dos
69,0,tcp,http,SF,203,651,0,0,1,19,19,normal
70,0,tcp,private,REJ,0,0,0,0,0,216,14,dos
71,0,tcp,smtp,SF,0,83,0,0,1,1,2,normal
72,0,tcp,http,SF,307,484,0,0,1,2,2,normal
73,0,tcp,http,SF,320,1667,0,0,1,8,30,normal
74,0,tcp,csnet_ns,REJ,0,0,0,0,0,251,3,dos
75,0,tcp,http,SF,215,430,0,0,1,1,1,normal
76,0,tcp,http,SF,358,3691,0,0,1,11,11,normal
